timestamp,ripeness,depth,object_offset,xmin,ymin,xmax,ymax
1713987562246720552_0,Low Ripeness,237.46391941391943,3.6431610654995836,466,227,802,552
1713987642080439806_0,Low Ripeness,427.230272,82.82077400477075,738,162,863,287
1713987642080439806_1,High Ripeness,430.71574246867505,17.460142579791142,597,156,718,280
1713987642080439806_2,High Ripeness,434.7034241531664,-25.72250832577187,516,163,613,275
1713987726405300856_0,Low Ripeness,467.7350392464678,-49.49156800230841,391,380,651,625
1713987840670523643_0,High Ripeness,605.1155642980084,17.0689604118462,597,477,695,560
1713987951851122379_0,Low Ripeness,503.3030895687733,20.942269663394832,514,124,803,377
1713988081901307583_0,High Ripeness,571.3753587721684,-4.404899832763691,524,255,701,442
1713988081901307583_1,Low Ripeness,492.32361614289323,194.41044775077307,845,93,1131,342
1713988193882064104_0,Low Ripeness,566.7246990172974,-113.13204479082201,303,308,564,547
1713988193882064104_1,Low Ripeness,581.2396405919661,249.4635694256421,910,223,1130,438
1713988193882064104_2,High Ripeness,564.4179841897234,66.75284740561635,638,270,822,468
